year,gas,concentration
1984,CH4,1.64484
1985,CH4,1.65729
1986,CH4,1.67009
1987,CH4,1.6827
1988,CH4,1.69326
1989,CH4,1.70453
1990,CH4,1.71443
1991,CH4,1.72478
1992,CH4,1.73547
1993,CH4,1.73648
1994,CH4,1.74205
1995,CH4,1.74888
1996,CH4,1.7513
1997,CH4,1.75448
1998,CH4,1.76554
1999,CH4,1.7723
2000,CH4,1.77322
2001,CH4,1.77129
2002,CH4,1.77266
2003,CH4,1.77733
2004,CH4,1.77705
2005,CH4,1.77426
2006,CH4,1.77496
2007,CH4,1.78138
2008,CH4,1.78701
2009,CH4,1.79354
2010,CH4,1.79888
2011,CH4,1.8031
2012,CH4,1.80812
2013,CH4,1.81343
2014,CH4,1.82253
2015,CH4,1.83426
2016,CH4,1.84312
2017,CH4,1.84958
2018,CH4,1.85734
2019,CH4,1.86655
2020,CH4,1.87873
2021,CH4,1.89481
2022,CH4,1.91093
2023,CH4,1.92152
2024,CH4,1.9298
1984,CO2,344.87
1985,CO2,346.35
1986,CO2,347.61
1987,CO2,349.31
1988,CO2,351.69
1989,CO2,353.2
1990,CO2,354.45
1991,CO2,355.7
1992,CO2,356.54
1993,CO2,357.21
1994,CO2,358.96
1995,CO2,360.97
1996,CO2,362.74
1997,CO2,363.88
1998,CO2,366.84
1999,CO2,368.54
2000,CO2,369.71
2001,CO2,371.32
2002,CO2,373.45
2003,CO2,375.98
2004,CO2,377.7
2005,CO2,379.98
2006,CO2,382.09
2007,CO2,384.02
2008,CO2,385.83
2009,CO2,387.64
2010,CO2,390.1
2011,CO2,391.85
2012,CO2,394.06
2013,CO2,396.74
2014,CO2,398.81
2015,CO2,401.01
2016,CO2,404.41
2017,CO2,406.76
2018,CO2,408.72
2019,CO2,411.65
2020,CO2,414.21
2021,CO2,416.41
2022,CO2,418.53
2023,CO2,421.08
2024,CO2,424.61
